Well	Plate	Sample	Detector	Cq
L9	Plate2	Sample9	ACTB	16.77
L10	Plate2	Sample10	ACTB	16.51
L11	Plate2	Sample11	ACTB	15.63
L12	Plate2	Sample12	ACTB	15.95
L13	Plate2	Sample1	OGT	28.76
L14	Plate2	Sample2	OGT	28.36
L15	Plate2	Sample3	OGT	30.28
L16	Plate2	Sample4	OGT	27.94
L17	Plate2	Sample5	OGT	28.28
L18	Plate2	Sample6	OGT	30.17
L19	Plate2	Sample7	OGT	28.18
L20	Plate2	Sample8	OGT	28.6
L21	Plate2	Sample9	OGT	28.21
L22	Plate2	Sample10	OGT	28.52
L23	Plate2	Sample11	OGT	28.12
L24	Plate2	Sample12	OGT	31.74
M1	Plate2	Sample1	HPRT	26.58
M2	Plate2	Sample2	HPRT	26.02
M3	Plate2	Sample3	HPRT	26.19
M4	Plate2	Sample4	HPRT	26.13
M5	Plate2	Sample5	HPRT	26.46
M6	Plate2	Sample6	HPRT	26.75
M7	Plate2	Sample7	HPRT	25.49
M8	Plate2	Sample8	HPRT	26.46
M9	Plate2	Sample9	HPRT	26.58
M10	Plate2	Sample10	HPRT	25.23
M11	Plate2	Sample11	HPRT	25.53
M12	Plate2	Sample12	HPRT	25.83
N1	Plate2	Sample1	HPRT	28.55
N2	Plate2	Sample2	HPRT	26.51
N3	Plate2	Sample3	HPRT	25.86
N4	Plate2	Sample4	HPRT	25.73
N5	Plate2	Sample5	HPRT	25.97
N6	Plate2	Sample6	HPRT	25.32
N7	Plate2	Sample7	HPRT	24.59
N8	Plate2	Sample8	HPRT	25.66
N9	Plate2	Sample9	HPRT	25.56
N10	Plate2	Sample10	HPRT	24.29
N11	Plate2	Sample11	HPRT	23.79
N12	Plate2	Sample12	HPRT	28.52
O1	Plate2	Sample1	HPRT	24.28
O2	Plate2	Sample2	HPRT	24.73
O3	Plate2	Sample3	HPRT	24.64
O4	Plate2	Sample4	HPRT	24.85
O5	Plate2	Sample5	HPRT	25
O6	Plate2	Sample6	HPRT	24.66
O7	Plate2	Sample7	HPRT	24.15
O8	Plate2	Sample8	HPRT	25.07
O9	Plate2	Sample9	HPRT	25.64
O10	Plate2	Sample10	HPRT	23.3
O11	Plate2	Sample11	HPRT	24.03
O12	Plate2	Sample12	HPRT	23.86
