Well	Plate	Sample	Detector	Cq
A1	Plate2	Sample1	B2M	17.93
A2	Plate2	Sample2	B2M	17.89
A3	Plate2	Sample3	B2M	17.72
A4	Plate2	Sample4	B2M	18.42
A5	Plate2	Sample5	B2M	18.01
A6	Plate2	Sample6	B2M	17
A7	Plate2	Sample7	B2M	16.75
A8	Plate2	Sample8	B2M	17.69
A9	Plate2	Sample9	B2M	18.11
A10	Plate2	Sample10	B2M	17.26
A11	Plate2	Sample11	B2M	16.63
A12	Plate2	Sample12	B2M	NA
A13	Plate2	Sample1	OGA	33.04
A14	Plate2	Sample2	OGA	32.34
A15	Plate2	Sample3	OGA	31.71
A16	Plate2	Sample4	OGA	28.89
A17	Plate2	Sample5	OGA	28.9
A18	Plate2	Sample6	OGA	29.43
A19	Plate2	Sample7	OGA	27.92
A20	Plate2	Sample8	OGA	28.77
A21	Plate2	Sample9	OGA	29.61
A22	Plate2	Sample10	OGA	26.59
A23	Plate2	Sample11	OGA	25.46
A24	Plate2	Sample12	OGA	28.35
B1	Plate2	Sample1	B2M	18
B2	Plate2	Sample2	B2M	17.67
B3	Plate2	Sample3	B2M	16.56
B4	Plate2	Sample4	B2M	NA
B5	Plate2	Sample5	B2M	NA
B6	Plate2	Sample6	B2M	16.85
B7	Plate2	Sample7	B2M	16.99
B8	Plate2	Sample8	B2M	17.98
B9	Plate2	Sample9	B2M	18.38
B10	Plate2	Sample10	B2M	17.85
B11	Plate2	Sample11	B2M	18.89
B12	Plate2	Sample12	B2M	17.09
B13	Plate2	Sample1	OGA	29.59
B14	Plate2	Sample2	OGA	29.66
B15	Plate2	Sample3	OGA	31.18
B16	Plate2	Sample4	OGA	NA
B17	Plate2	Sample5	OGA	30.21
B18	Plate2	Sample6	OGA	29.77
B19	Plate2	Sample7	OGA	27.9
B20	Plate2	Sample8	OGA	29.11
B21	Plate2	Sample9	OGA	29.74
B22	Plate2	Sample10	OGA	27.07
B23	Plate2	Sample11	OGA	24.44
B24	Plate2	Sample12	OGA	27.25
C1	Plate2	Sample1	B2M	17.68
C2	Plate2	Sample2	B2M	17.64
C3	Plate2	Sample3	B2M	17.28
C4	Plate2	Sample4	B2M	17.85
C5	Plate2	Sample5	B2M	17.98
C6	Plate2	Sample6	B2M	17.23
C7	Plate2	Sample7	B2M	16.95
C8	Plate2	Sample8	B2M	17.61
C9	Plate2	Sample9	B2M	18.1
C10	Plate2	Sample10	B2M	17.08
C11	Plate2	Sample11	B2M	17.62
C12	Plate2	Sample12	B2M	17.54
C13	Plate2	Sample1	OGA	25.36
C14	Plate2	Sample2	OGA	25.36
C15	Plate2	Sample3	OGA	27.57
C16	Plate2	Sample4	OGA	26
C17	Plate2	Sample5	OGA	26.06
C18	Plate2	Sample6	OGA	27.8
C19	Plate2	Sample7	OGA	26.12
C20	Plate2	Sample8	OGA	27.55
C21	Plate2	Sample9	OGA	27.7
C22	Plate2	Sample10	OGA	25.23
C23	Plate2	Sample11	OGA	24.83
C24	Plate2	Sample12	OGA	27.04
D1	Plate2	Sample1	GAPDH	20.31
D2	Plate2	Sample2	GAPDH	21.12
D3	Plate2	Sample3	GAPDH	21.24
D4	Plate2	Sample4	GAPDH	20.94
D5	Plate2	Sample5	GAPDH	21.84
D6	Plate2	Sample6	GAPDH	21.26
D7	Plate2	Sample7	GAPDH	20.56
D8	Plate2	Sample8	GAPDH	21.25
D9	Plate2	Sample9	GAPDH	22.45
D10	Plate2	Sample10	GAPDH	20.46
D11	Plate2	Sample11	GAPDH	21.08
D12	Plate2	Sample12	GAPDH	21.26
D13	Plate2	Sample1	ADNP2	NA
D14	Plate2	Sample2	ADNP2	NA
D15	Plate2	Sample3	ADNP2	NA
D16	Plate2	Sample4	ADNP2	NA
D17	Plate2	Sample5	ADNP2	NA
D18	Plate2	Sample6	ADNP2	NA
D19	Plate2	Sample7	ADNP2	NA
D20	Plate2	Sample8	ADNP2	NA
D21	Plate2	Sample9	ADNP2	NA
D22	Plate2	Sample10	ADNP2	31.19
D23	Plate2	Sample11	ADNP2	30.77
D24	Plate2	Sample12	ADNP2	28.01
E1	Plate2	Sample1	GAPDH	20.76
E2	Plate2	Sample2	GAPDH	20.67
E3	Plate2	Sample3	GAPDH	20.52
E4	Plate2	Sample4	GAPDH	19.56
E5	Plate2	Sample5	GAPDH	20.44
E6	Plate2	Sample6	GAPDH	19.77
E7	Plate2	Sample7	GAPDH	18.7
E8	Plate2	Sample8	GAPDH	19.48
E9	Plate2	Sample9	GAPDH	20.45
E10	Plate2	Sample10	GAPDH	18.75
E11	Plate2	Sample11	GAPDH	18.9
E12	Plate2	Sample12	GAPDH	19.48
E13	Plate2	Sample1	ADNP2	27.49
E14	Plate2	Sample2	ADNP2	27.34
E15	Plate2	Sample3	ADNP2	28.58
E16	Plate2	Sample4	ADNP2	27.65
E17	Plate2	Sample5	ADNP2	27.82
E18	Plate2	Sample6	ADNP2	30.09
E19	Plate2	Sample7	ADNP2	26.51
E20	Plate2	Sample8	ADNP2	28.88
E21	Plate2	Sample9	ADNP2	29.73
E22	Plate2	Sample10	ADNP2	26.5
E23	Plate2	Sample11	ADNP2	27.14
E24	Plate2	Sample12	ADNP2	27.79
F1	Plate2	Sample1	GAPDH	19.14
F2	Plate2	Sample2	GAPDH	18.99
F3	Plate2	Sample3	GAPDH	18.51
F4	Plate2	Sample4	GAPDH	18.33
F5	Plate2	Sample5	GAPDH	19.82
F6	Plate2	Sample6	GAPDH	18.79
F7	Plate2	Sample7	GAPDH	17.66
F8	Plate2	Sample8	GAPDH	19.11
F9	Plate2	Sample9	GAPDH	19.46
F10	Plate2	Sample10	GAPDH	18.02
F11	Plate2	Sample11	GAPDH	18.71
F12	Plate2	Sample12	GAPDH	18.92
F13	Plate2	Sample1	ADNP2	26.77
F14	Plate2	Sample2	ADNP2	26.75
F15	Plate2	Sample3	ADNP2	27.69
F16	Plate2	Sample4	ADNP2	26.78
F17	Plate2	Sample5	ADNP2	26.9
F18	Plate2	Sample6	ADNP2	29.23
F19	Plate2	Sample7	ADNP2	25.62
F20	Plate2	Sample8	ADNP2	27.69
F21	Plate2	Sample9	ADNP2	29.05
F22	Plate2	Sample10	ADNP2	25.42
F23	Plate2	Sample11	ADNP2	25.66
F24	Plate2	Sample12	ADNP2	27.24
G1	Plate2	Sample1	YWHAZ	22.06
G2	Plate2	Sample2	YWHAZ	22.39
G3	Plate2	Sample3	YWHAZ	24.51
G4	Plate2	Sample4	YWHAZ	23.7
G5	Plate2	Sample5	YWHAZ	26.09
G6	Plate2	Sample6	YWHAZ	26.53
G7	Plate2	Sample7	YWHAZ	24.94
G8	Plate2	Sample8	YWHAZ	25.85
G9	Plate2	Sample9	YWHAZ	27.72
G10	Plate2	Sample10	YWHAZ	24.72
G11	Plate2	Sample11	YWHAZ	23.5
G12	Plate2	Sample12	YWHAZ	22.67
G13	Plate2	Sample1	AHNAK2	27.58
G14	Plate2	Sample2	AHNAK2	26.76
G15	Plate2	Sample3	AHNAK2	28.17
G16	Plate2	Sample4	AHNAK2	28.74
G17	Plate2	Sample5	AHNAK2	27.73
G18	Plate2	Sample6	AHNAK2	28.76
G19	Plate2	Sample7	AHNAK2	27.7
G20	Plate2	Sample8	AHNAK2	29.25
G21	Plate2	Sample9	AHNAK2	29.17
G22	Plate2	Sample10	AHNAK2	28.18
G23	Plate2	Sample11	AHNAK2	27.54
G24	Plate2	Sample12	AHNAK2	29.69
H1	Plate2	Sample1	YWHAZ	21.97
H2	Plate2	Sample2	YWHAZ	22
H3	Plate2	Sample3	YWHAZ	22.6
H4	Plate2	Sample4	YWHAZ	21.59
H5	Plate2	Sample5	YWHAZ	22.29
H6	Plate2	Sample6	YWHAZ	22.78
H7	Plate2	Sample7	YWHAZ	20.98
H8	Plate2	Sample8	YWHAZ	21.62
H9	Plate2	Sample9	YWHAZ	22.93
H10	Plate2	Sample10	YWHAZ	20.64
H11	Plate2	Sample11	YWHAZ	20.53
H12	Plate2	Sample12	YWHAZ	21.47
H13	Plate2	Sample1	AHNAK2	28.94
H14	Plate2	Sample2	AHNAK2	27.64
H15	Plate2	Sample3	AHNAK2	29.26
H16	Plate2	Sample4	AHNAK2	29.23
H17	Plate2	Sample5	AHNAK2	28.69
H18	Plate2	Sample6	AHNAK2	28.73
H19	Plate2	Sample7	AHNAK2	27.14
H20	Plate2	Sample8	AHNAK2	29.52
H21	Plate2	Sample9	AHNAK2	30.32
H22	Plate2	Sample10	AHNAK2	28.69
H23	Plate2	Sample11	AHNAK2	27.29
H24	Plate2	Sample12	AHNAK2	29.22
I1	Plate2	Sample1	YWHAZ	21.15
I2	Plate2	Sample2	YWHAZ	21.26
I3	Plate2	Sample3	YWHAZ	21.74
I4	Plate2	Sample4	YWHAZ	21.06
I5	Plate2	Sample5	YWHAZ	21.87
I6	Plate2	Sample6	YWHAZ	21.91
I7	Plate2	Sample7	YWHAZ	20.74
I8	Plate2	Sample8	YWHAZ	21.3
I9	Plate2	Sample9	YWHAZ	23.02
I10	Plate2	Sample10	YWHAZ	20.92
I11	Plate2	Sample11	YWHAZ	21.45
I12	Plate2	Sample12	YWHAZ	22.07
I13	Plate2	Sample1	AHNAK2	27.76
I14	Plate2	Sample2	AHNAK2	26.93
I15	Plate2	Sample3	AHNAK2	27.97
I16	Plate2	Sample4	AHNAK2	28.48
I17	Plate2	Sample5	AHNAK2	27.89
I18	Plate2	Sample6	AHNAK2	27.99
I19	Plate2	Sample7	AHNAK2	29.07
I20	Plate2	Sample8	AHNAK2	29.09
I21	Plate2	Sample9	AHNAK2	30.19
I22	Plate2	Sample10	AHNAK2	27.71
I23	Plate2	Sample11	AHNAK2	27.05
I24	Plate2	Sample12	AHNAK2	28.88
J1	Plate2	Sample1	ACTB	17.81
J2	Plate2	Sample2	ACTB	16.7
J3	Plate2	Sample3	ACTB	16.89
J4	Plate2	Sample4	ACTB	17.95
J5	Plate2	Sample5	ACTB	17.92
J6	Plate2	Sample6	ACTB	16.97
J7	Plate2	Sample7	ACTB	17.34
J8	Plate2	Sample8	ACTB	18.02
J9	Plate2	Sample9	ACTB	17.61
J10	Plate2	Sample10	ACTB	16.98
J11	Plate2	Sample11	ACTB	16.66
J12	Plate2	Sample12	ACTB	20.17
J13	Plate2	Sample1	OGT	32.07
J14	Plate2	Sample2	OGT	29.86
J15	Plate2	Sample3	OGT	31.19
J16	Plate2	Sample4	OGT	28.96
J17	Plate2	Sample5	OGT	30.33
J18	Plate2	Sample6	OGT	31.51
J19	Plate2	Sample7	OGT	29.21
J20	Plate2	Sample8	OGT	28.46
J21	Plate2	Sample9	OGT	34.11
J22	Plate2	Sample10	OGT	29.72
J23	Plate2	Sample11	OGT	29.74
J24	Plate2	Sample12	OGT	31.3
K1	Plate2	Sample1	ACTB	18.99
K2	Plate2	Sample2	ACTB	17.02
K3	Plate2	Sample3	ACTB	16.92
K4	Plate2	Sample4	ACTB	17.14
K5	Plate2	Sample5	ACTB	16.77
K6	Plate2	Sample6	ACTB	15.97
K7	Plate2	Sample7	ACTB	16.21
K8	Plate2	Sample8	ACTB	16.73
K9	Plate2	Sample9	ACTB	16.84
K10	Plate2	Sample10	ACTB	16.67
K11	Plate2	Sample11	ACTB	15.68
K12	Plate2	Sample12	ACTB	16.44
K13	Plate2	Sample1	OGT	28.51
K14	Plate2	Sample2	OGT	28.46
K15	Plate2	Sample3	OGT	29.76
K16	Plate2	Sample4	OGT	26.67
K17	Plate2	Sample5	OGT	28.58
K18	Plate2	Sample6	OGT	30.22
K19	Plate2	Sample7	OGT	28.19
K20	Plate2	Sample8	OGT	27.95
K21	Plate2	Sample9	OGT	31.7
K22	Plate2	Sample10	OGT	29.3
K23	Plate2	Sample11	OGT	28.48
K24	Plate2	Sample12	OGT	30.16
L1	Plate2	Sample1	ACTB	16.98
L2	Plate2	Sample2	ACTB	15.85
L3	Plate2	Sample3	ACTB	16.57
L4	Plate2	Sample4	ACTB	16.91
L5	Plate2	Sample5	ACTB	16.89
L6	Plate2	Sample6	ACTB	16.06
L7	Plate2	Sample7	ACTB	16.32
L8	Plate2	Sample8	ACTB	16.9
