Well	Plate	Sample	Detector	Cq
F22	Plate1	Sample10	H1-0	NA
F23	Plate1	Sample11	H1-0	27.52
F24	Plate1	Sample12	H1-0	26.63
G1	Plate1	Sample1	YWHAZ	20.98
G2	Plate1	Sample2	YWHAZ	21.08
G3	Plate1	Sample3	YWHAZ	21.77
G4	Plate1	Sample4	YWHAZ	20.5
G5	Plate1	Sample5	YWHAZ	22.78
G6	Plate1	Sample6	YWHAZ	23.16
G7	Plate1	Sample7	YWHAZ	20.65
G8	Plate1	Sample8	YWHAZ	21.36
G9	Plate1	Sample9	YWHAZ	23.73
G10	Plate1	Sample10	YWHAZ	21.3
G11	Plate1	Sample11	YWHAZ	21.6
G12	Plate1	Sample12	YWHAZ	23.28
G13	Plate1	Sample1	H1-2	24.85
G14	Plate1	Sample2	H1-2	25.36
G15	Plate1	Sample3	H1-2	24.52
G16	Plate1	Sample4	H1-2	24.78
G17	Plate1	Sample5	H1-2	25.55
G18	Plate1	Sample6	H1-2	23.9
G19	Plate1	Sample7	H1-2	23.9
G20	Plate1	Sample8	H1-2	23.92
G21	Plate1	Sample9	H1-2	23.97
G22	Plate1	Sample10	H1-2	21.8
G23	Plate1	Sample11	H1-2	22.34
G24	Plate1	Sample12	H1-2	24.75
H1	Plate1	Sample1	YWHAZ	22.79
H2	Plate1	Sample2	YWHAZ	22.52
H3	Plate1	Sample3	YWHAZ	23.01
H4	Plate1	Sample4	YWHAZ	20.64
H5	Plate1	Sample5	YWHAZ	22.15
H6	Plate1	Sample6	YWHAZ	22.38
H7	Plate1	Sample7	YWHAZ	20.82
H8	Plate1	Sample8	YWHAZ	21.33
H9	Plate1	Sample9	YWHAZ	22.27
H10	Plate1	Sample10	YWHAZ	20.53
H11	Plate1	Sample11	YWHAZ	21.85
H12	Plate1	Sample12	YWHAZ	20.99
H13	Plate1	Sample1	H1-2	28
H14	Plate1	Sample2	H1-2	24.85
H15	Plate1	Sample3	H1-2	23.32
H16	Plate1	Sample4	H1-2	23.57
H17	Plate1	Sample5	H1-2	24.43
H18	Plate1	Sample6	H1-2	22.96
H19	Plate1	Sample7	H1-2	22.17
H20	Plate1	Sample8	H1-2	23.3
H21	Plate1	Sample9	H1-2	23.31
H22	Plate1	Sample10	H1-2	22.37
H23	Plate1	Sample11	H1-2	21.53
H24	Plate1	Sample12	H1-2	21.1
I1	Plate1	Sample1	YWHAZ	21.45
I2	Plate1	Sample2	YWHAZ	20.32
I3	Plate1	Sample3	YWHAZ	21.74
I4	Plate1	Sample4	YWHAZ	19.64
I5	Plate1	Sample5	YWHAZ	21.15
I6	Plate1	Sample6	YWHAZ	21.59
I7	Plate1	Sample7	YWHAZ	20.24
I8	Plate1	Sample8	YWHAZ	20.13
I9	Plate1	Sample9	YWHAZ	22.57
I10	Plate1	Sample10	YWHAZ	26.01
I11	Plate1	Sample11	YWHAZ	21.04
I12	Plate1	Sample12	YWHAZ	20.85
I13	Plate1	Sample1	H1-2	23.15
I14	Plate1	Sample2	H1-2	23.57
I15	Plate1	Sample3	H1-2	22.64
I16	Plate1	Sample4	H1-2	22.69
I17	Plate1	Sample5	H1-2	23.56
I18	Plate1	Sample6	H1-2	22.25
I19	Plate1	Sample7	H1-2	22.48
I20	Plate1	Sample8	H1-2	21.8
I21	Plate1	Sample9	H1-2	23.48
I22	Plate1	Sample10	H1-2	21.12
I23	Plate1	Sample11	H1-2	21.48
I24	Plate1	Sample12	H1-2	21.06
J1	Plate1	Sample1	ACTB	17.01
J2	Plate1	Sample2	ACTB	16.02
J3	Plate1	Sample3	ACTB	15.95
J4	Plate1	Sample4	ACTB	16.78
J5	Plate1	Sample5	ACTB	17.83
J6	Plate1	Sample6	ACTB	17.26
J7	Plate1	Sample7	ACTB	16.64
J8	Plate1	Sample8	ACTB	17
J9	Plate1	Sample9	ACTB	16.63
J10	Plate1	Sample10	ACTB	17.68
J11	Plate1	Sample11	ACTB	15.81
J12	Plate1	Sample12	ACTB	15.65
J13	Plate1	Sample1	TM4SF1	31.72
J14	Plate1	Sample2	TM4SF1	NA
J15	Plate1	Sample3	TM4SF1	30.21
J16	Plate1	Sample4	TM4SF1	28.04
J17	Plate1	Sample5	TM4SF1	27.43
J18	Plate1	Sample6	TM4SF1	23.31
J19	Plate1	Sample7	TM4SF1	24.04
J20	Plate1	Sample8	TM4SF1	23.89
J21	Plate1	Sample9	TM4SF1	23.07
J22	Plate1	Sample10	TM4SF1	21.78
J23	Plate1	Sample11	TM4SF1	23.17
J24	Plate1	Sample12	TM4SF1	22.14
K1	Plate1	Sample1	ACTB	16.7
K2	Plate1	Sample2	ACTB	16.46
K3	Plate1	Sample3	ACTB	16.18
K4	Plate1	Sample4	ACTB	16.81
K5	Plate1	Sample5	ACTB	17.03
K6	Plate1	Sample6	ACTB	16.51
K7	Plate1	Sample7	ACTB	16.1
K8	Plate1	Sample8	ACTB	16.25
K9	Plate1	Sample9	ACTB	16.55
K10	Plate1	Sample10	ACTB	15.81
K11	Plate1	Sample11	ACTB	14.43
K12	Plate1	Sample12	ACTB	14.27
K13	Plate1	Sample1	TM4SF1	26.02
K14	Plate1	Sample2	TM4SF1	24.51
K15	Plate1	Sample3	TM4SF1	22.33
K16	Plate1	Sample4	TM4SF1	24.17
K17	Plate1	Sample5	TM4SF1	24.2
K18	Plate1	Sample6	TM4SF1	22
K19	Plate1	Sample7	TM4SF1	22.13
K20	Plate1	Sample8	TM4SF1	23.41
K21	Plate1	Sample9	TM4SF1	22.19
K22	Plate1	Sample10	TM4SF1	21.6
K23	Plate1	Sample11	TM4SF1	24.36
K24	Plate1	Sample12	TM4SF1	21.58
L1	Plate1	Sample1	ACTB	16.1
L2	Plate1	Sample2	ACTB	14.54
L3	Plate1	Sample3	ACTB	15.49
L4	Plate1	Sample4	ACTB	15.72
L5	Plate1	Sample5	ACTB	16.27
L6	Plate1	Sample6	ACTB	14.33
L7	Plate1	Sample7	ACTB	15.64
L8	Plate1	Sample8	ACTB	15.15
L9	Plate1	Sample9	ACTB	15.5
L10	Plate1	Sample10	ACTB	15.98
L11	Plate1	Sample11	ACTB	15.24
L12	Plate1	Sample12	ACTB	14.59
L13	Plate1	Sample1	TM4SF1	22.68
L14	Plate1	Sample2	TM4SF1	23.75
L15	Plate1	Sample3	TM4SF1	22.12
L16	Plate1	Sample4	TM4SF1	22.95
L17	Plate1	Sample5	TM4SF1	24.11
L18	Plate1	Sample6	TM4SF1	21.17
L19	Plate1	Sample7	TM4SF1	21.98
L20	Plate1	Sample8	TM4SF1	23.55
L21	Plate1	Sample9	TM4SF1	21.74
L22	Plate1	Sample10	TM4SF1	21.01
L23	Plate1	Sample11	TM4SF1	22.17
L24	Plate1	Sample12	TM4SF1	20.62
M1	Plate1	Sample1	HPRT	26.84
M2	Plate1	Sample2	HPRT	27.83
M3	Plate1	Sample3	HPRT	30.23
M4	Plate1	Sample4	HPRT	31.3
M5	Plate1	Sample5	HPRT	34.41
M6	Plate1	Sample6	HPRT	32.19
M7	Plate1	Sample7	HPRT	28.06
M8	Plate1	Sample8	HPRT	27.96
M9	Plate1	Sample9	HPRT	27.35
M10	Plate1	Sample10	HPRT	25.63
M11	Plate1	Sample11	HPRT	24.82
M12	Plate1	Sample12	HPRT	24.07
M13	Plate1	Sample1	TXNIP	NA
M14	Plate1	Sample2	TXNIP	NA
M15	Plate1	Sample3	TXNIP	NA
M16	Plate1	Sample4	TXNIP	NA
M17	Plate1	Sample5	TXNIP	32.69
M18	Plate1	Sample6	TXNIP	29.39
M19	Plate1	Sample7	TXNIP	27.6
M20	Plate1	Sample8	TXNIP	28.12
M21	Plate1	Sample9	TXNIP	27.75
M22	Plate1	Sample10	TXNIP	24.88
M23	Plate1	Sample11	TXNIP	23.97
M24	Plate1	Sample12	TXNIP	28.21
N1	Plate1	Sample1	HPRT	24.76
N2	Plate1	Sample2	HPRT	24.01
N3	Plate1	Sample3	HPRT	23.91
N4	Plate1	Sample4	HPRT	23.31
N5	Plate1	Sample5	HPRT	NA
N6	Plate1	Sample6	HPRT	24.53
N7	Plate1	Sample7	HPRT	22.79
N8	Plate1	Sample8	HPRT	23.52
N9	Plate1	Sample9	HPRT	24.21
N10	Plate1	Sample10	HPRT	23.05
N11	Plate1	Sample11	HPRT	26.86
N12	Plate1	Sample12	HPRT	25.97
N13	Plate1	Sample1	TXNIP	NA
N14	Plate1	Sample2	TXNIP	26.85
N15	Plate1	Sample3	TXNIP	24.88
N16	Plate1	Sample4	TXNIP	24.37
N17	Plate1	Sample5	TXNIP	24.23
N18	Plate1	Sample6	TXNIP	24.53
N19	Plate1	Sample7	TXNIP	23.69
N20	Plate1	Sample8	TXNIP	24.04
N21	Plate1	Sample9	TXNIP	23.85
N22	Plate1	Sample10	TXNIP	22.71
N23	Plate1	Sample11	TXNIP	21.3
N24	Plate1	Sample12	TXNIP	22.92
O1	Plate1	Sample1	HPRT	25.68
O2	Plate1	Sample2	HPRT	24.54
O3	Plate1	Sample3	HPRT	24.02
O4	Plate1	Sample4	HPRT	23.55
O5	Plate1	Sample5	HPRT	25.1
O6	Plate1	Sample6	HPRT	23.56
O7	Plate1	Sample7	HPRT	22.82
O8	Plate1	Sample8	HPRT	24.84
O9	Plate1	Sample9	HPRT	24.51
O10	Plate1	Sample10	HPRT	21.79
O11	Plate1	Sample11	HPRT	22.45
O12	Plate1	Sample12	HPRT	22.3
O13	Plate1	Sample1	TXNIP	23.11
O14	Plate1	Sample2	TXNIP	22.74
O15	Plate1	Sample3	TXNIP	23.15
O16	Plate1	Sample4	TXNIP	23.2
O17	Plate1	Sample5	TXNIP	22.9
O18	Plate1	Sample6	TXNIP	23.38
O19	Plate1	Sample7	TXNIP	23.28
O20	Plate1	Sample8	TXNIP	23.6
O21	Plate1	Sample9	TXNIP	23.84
O22	Plate1	Sample10	TXNIP	22.17
O23	Plate1	Sample11	TXNIP	21.2
O24	Plate1	Sample12	TXNIP	22.33
