treatment,Lot,values
A,1,25288.696
A,2,6276.886
A,3,12743.597
B,1,37544.08
B,2,28023.673
B,3,16656.622
C,1,48067.01
C,2,9967.801
C,3,7317.12
D,1,63498.343
D,2,4952.2
D,3,2843.959
