treatment,Lot,values
A,1,0.239109387
A,2,0.127185786
A,3,0.386555144
B,1,0.670648246
B,2,0.459763298
B,3,0.854513731
C,1,1.233824731
C,2,1.04420807
C,3,1.027786715
D,1,1.111499247
D,2,0.724785288
D,3,0.45264782
